Region,Quarter,Indicator,IP_Yes,IP_No,IP_Dont_Know,Total
Region III (Central Luzon),Q3 2025,Pregnant Women,0,298,0,298
Region III (Central Luzon),Q3 2025,Women of Reproductive Age (WRA),7,17810,6,17823
Region III (Central Luzon),Q3 2025,Children less than 6 months,0,236,1,237
Region III (Central Luzon),Q3 2025,Children 6–11 months,1,272,0,273
Region III (Central Luzon),Q3 2025,Children 12–23 months,0,525,0,525
Region III (Central Luzon),Q3 2025,Children 24–59 months,0,1967,1,1968
Region III (Central Luzon),Q4 2025,Pregnant Women,0,284,0,284
Region III (Central Luzon),Q4 2025,Women of Reproductive Age (WRA),8,17418,3,17429
Region III (Central Luzon),Q4 2025,Children less than 6 months,0,366,1,367
Region III (Central Luzon),Q4 2025,Children 6–11 months,0,303,1,304
Region III (Central Luzon),Q4 2025,Children 12–23 months,1,626,1,628
Region III (Central Luzon),Q4 2025,Children 24–59 months,0,2128,3,2131
Region III (Central Luzon),Q1 2026,Pregnant Women,0,300,0,300
Region III (Central Luzon),Q1 2026,Women of Reproductive Age (WRA),11,17507,4,17522
Region III (Central Luzon),Q1 2026,Children less than 6 months,0,398,1,399
Region III (Central Luzon),Q1 2026,Children 6–11 months,0,338,2,340
Region III (Central Luzon),Q1 2026,Children 12–23 months,1,671,0,672
Region III (Central Luzon),Q1 2026,Children 24–59 months,0,2332,4,2336
Region III (Central Luzon),Q2 2026,Pregnant Women,0,355,0,355
Region III (Central Luzon),Q2 2026,Women of Reproductive Age (WRA),12,17325,4,17341
Region III (Central Luzon),Q2 2026,Children less than 6 months,2,329,0,331
Region III (Central Luzon),Q2 2026,Children 6–11 months,0,408,2,410
Region III (Central Luzon),Q2 2026,Children 12–23 months,2,690,1,693
Region III (Central Luzon),Q2 2026,Children 24–59 months,0,2337,3,2340
Region IV-A (Calabarzon),Q3 2025,Pregnant Women,26,1571,3,1600
Region IV-A (Calabarzon),Q3 2025,Women of Reproductive Age (WRA),1003,73034,246,74283
Region IV-A (Calabarzon),Q3 2025,Children less than 6 months,18,1319,4,1341
Region IV-A (Calabarzon),Q3 2025,Children 6–11 months,20,1657,3,1680
Region IV-A (Calabarzon),Q3 2025,Children 12–23 months,48,3164,7,3219
Region IV-A (Calabarzon),Q3 2025,Children 24–59 months,135,10309,25,10469
